"sample.expression","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"2db5cbe9-b8eb-4446-a859-df04ccbe01c8",0.0462759898021476,0,0,0,0,0.306481649181737,0,0.0318910108109253,0.0293642551731148,0,0.0721042891132695,0.0067879612785879,0.0415308564675235,0.280262805085225,0,0,0,0,0,0.18530118308747,0,0
"51abe362-e3ff-4604-8cf1-5197c4783fc5",0.0323775143399076,0,0.0311920645435322,0.0371930384545085,0,0.315749887352735,0.062364548976078,0.00886005857822491,0,0,0.0695708040946346,0,0,0.172205702302831,0.0613200131208952,0.0775570868899487,0,0.0212684797817807,0,0.110340801564923,0,0
"0dae99b2-3cde-42e3-aabb-e0cc195a397c",0.0935232813045754,0,0.0451994796154941,0.01203617812716,0,0.271168018216519,0,0,0.0613021141386998,0,0.0295709595128135,0,0,0.321675586825239,0.0430570655073711,0.112408155336949,0,0,0,0.010059161415179,0,0
"8736ed27-2141-48d9-b677-b1a0e14d4b50",0.103306899584523,0,0,0.00782089752202341,0,0.268034821778385,0,0,0.0396112445236546,0,0.063699390959795,0,0.0163697199525103,0.237698791124443,0.077688644391513,0.153791519322163,0.00271637948895906,0,0.010789092746347,0.0184725986056833,0,0
"ea9874a3-4bcb-4e70-bc2f-b23588b454b9",0.0871502942107835,0,0.0112470035360665,0.0970470537067707,0,0.337313144365426,0,0.0232484351435421,0.000117708294318742,0,0.0343381728667184,0.0044075982396171,0.0584788855348297,0.136730922459455,0.0227850456785904,0.119570785602534,0.0012135350077991,0,0,0.0596184975138299,0.00673291783971883,0
"63f52b0b-e117-4da6-831b-1d7b1c62453a",0.0513850767068482,0,0.0247292159929892,0.005262760556823,0,0.409707524791249,0,0,0.0504993547784424,0,0.0717223396686442,0,0.0236145434703831,0.176032697917798,0.0614172854137427,0.096338282468516,0,0.00126851274946973,0,0.0280224054850938,0,0
"8510295d-e4f3-4d85-9424-3385eb2fd291",0.0294686714834363,0,0,0,0,0.214404158976162,0,0,0,0,0.069392571482906,0,0,0.471866240864001,0.031237635885854,0.0406994807824228,0,0.0313963345885294,0,0.0915023962794883,0,0.0200325096571998
"dc38ba64-6240-4bab-9ad5-2adb67e1b79e",0.101654676956379,0,0.0415536041196153,0.00801131603964624,0,0.317478659893624,0,0,0.0521473558861054,0,0.089096302735928,0,0.00949988965639893,0.249638476518932,0.0169449617022696,0.0401311128593156,0,0.00605906855331461,0,0.067784575078471,0,0
"ad1db357-c9ee-4079-ab36-18788acedda8",0.135730566973295,0,0.0332729961363288,0.016073225393391,0,0.334038323143888,0,0,0.0168961671520293,0,0.0906418543484752,0,0.0377467792050411,0.128629330317751,0.00396880719891554,0.143697080890384,0.00309309030036085,0.0164355144535682,0.0061737604682295,0.0243035964497003,0,0.00929890756864184
"85680290-b71a-4e2c-bb42-a9f19f718816",0.0663150506969356,0,0.00351706737634067,0.0656803605004968,0,0.238973346530376,0.0160122620395367,0,0.0275621038658062,0,0.0478743181292986,0,0,0.219933228563268,0.0659530877372559,0.16571754498389,0,0.0617120761685046,0,0.00752379596562976,0,0.0132257574426615
"6dce929a-71c9-49a3-ba3b-ee61bfec284f",0.140009136976009,0,0.0209726047647587,0.0898734114346628,0,0.276269998510307,0.00270842089451148,0.0540018340058966,0.0680454483736551,0,0.0502232664876878,0,0.0604329519234653,0.0737295781719903,0.0580754677063441,0.0617842932979033,0.00651126781325401,0,0,0.0114865432445456,0.0258757763950088,0
"02566c4e-e3d2-43eb-aca3-754c1bd5bd5f",0.0317764055743451,0,0.00642732856015109,0.0144312944368364,0,0.330423028986046,0.0199523620303624,0,0.0284981856970854,0,0.086645287104404,0,0,0.197238285753621,0.106882568787985,0.13822051747115,0,0.00859749575731703,0,0.0309072398406962,0,0
