"","RNAseq","samp16s","distance","pt.id.rna","pt.id.16s","specimen.type","paired"
"215","SL330198","30165",1,"P112359002","P112418624","Tumor","FALSE"
"216","SL330198","30167",1,"P112359002","P112418624","Normal","FALSE"
"217","SL330198","30169",1,"P112359002","P112409746","Tumor","FALSE"
"218","SL330198","30171",1,"P112359002","P112409746","Normal","FALSE"
"219","SL330198","30173",1,"P112359002",NA,NA,"CONTROL"
"220","SL330198","30295",1,"P112359002","P112374066","Normal","FALSE"
"221","SL330198","30297",0.911111111111111,"P112359002","P112390908","Normal","FALSE"
"222","SL330198","30299",0.851851851851852,"P112359002","P112398333","Tumor","FALSE"
"223","SL330198","30301",0.846153846153846,"P112359002","P112398333","Normal","FALSE"
"224","SL330198","30303",0.875,"P112359002","P112404922","Tumor","FALSE"
"225","SL330198","30305",1,"P112359002","P112408270","Normal","FALSE"
"226","SL330198","30307",1,"P112359002",NA,NA,"CONTROL"
"227","SL330198","30820",1,"P112359002","P112374066","Tumor","FALSE"
"228","SL330198","30822",1,"P112359002","P112404267","Normal","FALSE"
"229","SL330198","30824",1,"P112359002","P112416452","Normal","FALSE"
"230","SL330198","30935",1,"P112359002","P112382873","Tumor","FALSE"
"231","SL330198","30937",0.878787878787879,"P112359002","P112390908","Tumor","FALSE"
"232","SL330198","30939",1,"P112359002","P112397962","Normal","FALSE"
"233","SL330198","30941",1,"P112359002","P112404922","Normal","FALSE"
"234","SL330198","30943",0.925925925925926,"P112359002","P112406974","Tumor","FALSE"
"235","SL330198","30945",0.923076923076923,"P112359002","P112406974","Normal","FALSE"
"236","SL330198","30947",0.923076923076923,"P112359002","P112416452","Tumor","FALSE"
"237","SL330198","31531",1,"P112359002",NA,NA,"CONTROL"
"238","SL330198","31537",0.947368421052632,"P112359002","P112364086","Tumor","FALSE"
"239","SL330198","31539",0.942857142857143,"P112359002","P112364086","Normal","FALSE"
"240","SL330198","31541",1,"P112359002","P112375831","Normal","FALSE"
"241","SL330198","31543",0.952380952380952,"P112359002","P112380828","Tumor","FALSE"
"242","SL330198","31545",1,"P112359002","P112380828","Normal","FALSE"
